Data;Entrada;Saida
JANEIRO;0;0
JANEIRO;0;
JANEIRO;120;
JANEIRO;5935,78;
JANEIRO;;96,74
JANEIRO;;50
JANEIRO;;58,87
JANEIRO;;500
JANEIRO;;160
JANEIRO;;17,9
JANEIRO;;27,8
JANEIRO;;20,5
JANEIRO;;24,5
JANEIRO;;49,98
JANEIRO;1667;
JANEIRO;;10,2
JANEIRO;;9,7
JANEIRO;;10
JANEIRO;;8
JANEIRO;;2,85
FEVEREIRO;6148,82;0
FEVEREIRO;0;50
FEVEREIRO;0;58,55
FEVEREIRO;;500
FEVEREIRO;;9
FEVEREIRO;;24,4
FEVEREIRO;;7
FEVEREIRO;;70,42
FEVEREIRO;;24,35
FEVEREIRO;;9,9
FEVEREIRO;1667;
FEVEREIRO;;10
FEVEREIRO;;96
FEVEREIRO;;37
FEVEREIRO;;22,5
MARÇO;150;
MARÇO;120;
MARÇO;480;
MARÇO;4546,15;
MARÇO;;99,74
MARÇO;;50
MARÇO;;500
MARÇO;;71,1
MARÇO;;128
MARÇO;;70,42
MARÇO;;4,4
MARÇO;;15
MARÇO;;10
MARÇO;120;
MARÇO;;315
MARÇO;;6,9
MARÇO;;100
MARÇO;;11
MARÇO;;8
MARÇO;;100
MARÇO;;49,35
MARÇO;;32
MARÇO;;18,22
MARÇO;;42,5
ABRIL;240;
ABRIL;0;
ABRIL;360;
ABRIL;4987,23;
ABRIL;;99,54
ABRIL;;50
ABRIL;;500
ABRIL;;14,9
ABRIL;;30
ABRIL;;60
ABRIL;;600
ABRIL;;30
ABRIL;;9,7
ABRIL;;20
ABRIL;;97,65
ABRIL;;60
ABRIL;;2,5
ABRIL;1088,84;
ABRIL;;80
ABRIL;;15,98
ABRIL;;8,86
ABRIL;;14,99
ABRIL;;22
ABRIL;;16
ABRIL;;4
MAIO;360;
MAIO;6487,84;
MAIO;;96,74
MAIO;;50
MAIO;;64,03
MAIO;;500
MAIO;;70
MAIO;400;
MAIO;;100
JUNHO;120;
JUNHO;360;
JUNHO;400;
JUNHO;120;
JUNHO;5563,21;
JUNHO;;96,74
JUNHO;;50
JUNHO;;62,61
JUNHO;;500
JUNHO;;90
JUNHO;;50
JUNHO;;60
JUNHO;;100
JUNHO;;19,9
JUNHO;;200
JUNHO;;11
JUNHO;;245
JUNHO;;250
JUNHO;;19,97
JUNHO;;48,44
JUNHO;;32
JUNHO;;14,85
JULHO;360;
JULHO;400;
JULHO;6917,37;
JULHO;;50
JULHO;;62,94
JULHO;;500
JULHO;;20
JULHO;;80
JULHO;;80
JULHO;200;
JULHO;;30
AGOSTO;120;
AGOSTO;360;
AGOSTO;119,42;
AGOSTO;400;
AGOSTO;120;
AGOSTO;7420,04;
AGOSTO;;50
AGOSTO;;64,06
AGOSTO;;500
AGOSTO;;1355,71
AGOSTO;200;
AGOSTO;;10,38
AGOSTO;;216,7
AGOSTO;;220
AGOSTO;;4,9
AGOSTO;;50
AGOSTO;;52,96
SETEMBRO;400;
SETEMBRO;360;
SETEMBRO;400;
SETEMBRO;7137,88;
SETEMBRO;;50
SETEMBRO;;64,49
SETEMBRO;;500
SETEMBRO;;1355,71
SETEMBRO;200;
SETEMBRO;;49,9
SETEMBRO;;35
SETEMBRO;;60
SETEMBRO;;70
SETEMBRO;;35
SETEMBRO;;31,4
SETEMBRO;;39,9
OUTUBRO;360;
OUTUBRO;400;
OUTUBRO;7107,79;
OUTUBRO;;63,67
OUTUBRO;;77,5
OUTUBRO;;500
OUTUBRO;;35
OUTUBRO;200;
OUTUBRO;;8
OUTUBRO;;15
OUTUBRO;;4,5
OUTUBRO;;20
OUTUBRO;;19,8
OUTUBRO;;27,85
OUTUBRO;;97
OUTUBRO;;69
OUTUBRO;;35
OUTUBRO;;50
NOVEMBRO;360;
NOVEMBRO;394,44;
NOVEMBRO;130;
NOVEMBRO;6653,76;
NOVEMBRO;;77,5
NOVEMBRO;;64,61
NOVEMBRO;;500
NOVEMBRO;;5,99
NOVEMBRO;;250
NOVEMBRO;;7,67
NOVEMBRO;200;
NOVEMBRO;;251,24
NOVEMBRO;;1,99
NOVEMBRO;;59,99
NOVEMBRO;;15
NOVEMBRO;30;50
NOVEMBRO;;80
NOVEMBRO;;2,1
NOVEMBRO;;133,24
NOVEMBRO;;35
NOVEMBRO;;98,99
DEZEMBRO;360;
DEZEMBRO;440;
DEZEMBRO;7230,66;
DEZEMBRO;;50
DEZEMBRO;;66,51
DEZEMBRO;;500
DEZEMBRO;200;
DEZEMBRO;;256,34
DEZEMBRO;;66,69
DEZEMBRO;;80
DEZEMBRO;;83,38
DEZEMBRO;;6,5
DEZEMBRO;;16,7
DEZEMBRO;;126,45
DEZEMBRO;;10,5
DEZEMBRO;;30
DEZEMBRO;;2,99
DEZEMBRO;;10
DEZEMBRO;;12
DEZEMBRO;;10
